Ibaloi_word,Pronunciation,POS,English_word,Ibaloi_synonyms,Ibaloi_sentence,English_sentence,Notes,isNew
adivay,ah-DEE-vay,n,"play, visit",man-adivay,mayat numan in pan adivay sha,they had a good conversation experience,,FALSE
adok,ah-DOK,v,persuade,,Apaladoy adok to numan ni semek to.,He really persuaded his love for me.,,FALSE
adoken,ah-DOH-kuhn,v,to persuade,,Apaladoy adok to numan ni semek to.,He really persuaded his love for me.,,FALSE
adonei,ah-doh-NEY,av,slowly,,Adoni e akad ni kakeb.,Turtles walk slowly.,,FALSE
afay,ah-FAY,n,see agpay,,,,,FALSE
agdalo,ag-DAH-loh,adj,more so,,,,,FALSE
aggang,AH-gang,n,hunger,,,,,FALSE
aggi,AH-gee,n,"brother, sister, sibling",,,,,FALSE
agim,,,,,,,,TRUE
agob,ag-GOB,n,"odor, smell",,,,,FALSE
agpay,ag-PAY,n,,,,,a bunch of cut reeds spread out on the ground and used for dressing an animal that has been butchered as an offering in a ceremony,FALSE
agpayso,ag-PAY-soh,adj,"TRUE, as expected, as predicted, it’s the truth",,,,,FALSE
agsapa,ag-SAH-pah,n/adj,morning,eguagua,,,,FALSE
agshan,ag-SHAN,n,"stairs, steps, ladder",,,,,FALSE
agto,ag-TOH,v,carry on one’s head,,,,,FALSE
ah’mes,AH-muhs,v,"bathe, to take a bath",,,,,FALSE
aishe,AY-sheh,av,"no, none",,,,,FALSE
ajowanan,,,,,,,,TRUE
ajowanim,,,,,,,,TRUE
akad,ah-KAD,v,"walk, go home",ekad,Adoni e akad ni kakeb.,Turtles walk slowly.,,FALSE
akalen,,,,,,,,TRUE
akan,ah-KAN,n,thing given,,,,,FALSE
akbay,ak-BAY,v,,,,,put one’s hand over someone’s shoulder; closest to a hug,FALSE
akbot,ak-BOT,n,"purse, bag, bundle",,,,,FALSE
akew,,,day;,,,,,TRUE
akow,AH-khow,n,day,,,,,FALSE
akshang,AK-shang,,,,,,,TRUE
aksiw,AK-siw,n,,,,,a pole used to hang and carry objects with,FALSE
al-al,al-AL,v,"breathe heavily, huff and puff",,,,,FALSE
ala,AH-la,v,"get, take",,,,,FALSE
alad,ah-LAD,n/v,fence,,,,,FALSE
alam,ah-LAM,v,"get it, take it",,,,,FALSE
alam-am,ah-lam-AM,n,fern,,,,,FALSE
alamre,ah-LAM-reh,n,wire,,,,,FALSE
aligua,ah-lig-WAH,av,"different, unlike, not the same",afil,,,,FALSE
alinta,ah-lin-TAH,n,leach,,,,parasites that thrive in the mud or in rice fields,FALSE
aliven,ah-LEE-vuhn,adv,not,,Aliven sikak nansulat nitan.,I did not write that.,,TRUE
almas,AL-mas,n,"arms, weapon",,"Say emausal ma ja almas niman ja tempo ket aliwena paltog, nu di ket Esel nen Apo. | Aligwena enam-ay ma niman ja tempo ja mengnap ni pan dagbo-ab. | mayat numan in pan adivay sha | sinuspendera ni nashem eray klase","In this present time, the weapon used is not a gun, but the Word of God. | Today's it's not easy to find a job to earn a living | they had a good conversation experience | classes yesterday was suspended",,FALSE
altey,al-TEY,n,liver,,,,,FALSE
aluti-it,ah-loh-TEE-eet,n,house lizard,,"Edavi ma, asan ta mwan may tuloy nu kabasan.","It's already night, let's continue again tomorrow.",,FALSE
am-amtaan,,,,,,,,TRUE
ama,ah-MAH,n,father,,,,,FALSE
amag,ah-MAG,v,"to make, create, do, fix",isingpet,,,,FALSE
ambiyongan,am-byo-NGAN,n,,,,,greenish type of beetle,FALSE
amed,ah-MUHD,n,"ghost, unseen being, spirit",comao,,,,FALSE
amis,ah-MIS,n,sweetness,,En amis numan e Dipig ja balat nu may shek-shek.,Dipig' banana is delicious when boiled.,,FALSE
amol,ah-MOL,n,dew,,,,,FALSE
ampasit,am-pah-SIT,n,"elf, fairy, unseen beings of the earth",,,,,FALSE
ampengat,am-puh-NGAT,n,fly,,,,,FALSE
amta,AM-ta,n/v,"knowledge, know",eguatan,Amtak e ngaran mo,I know your name,,FALSE
amta-en,am-tah-UHN,n,will know,,,,,FALSE
amtam,,,you know,,,,,TRUE
an-animal,an-an-ee-MAL,n,animals,,,,,FALSE
anai,ah-NAY,n,termite,,,,,FALSE
anak,ah-NAK,n,child,,,,,FALSE
anap,ah-NAP,v,"look for, search",capcap,,,,FALSE
angja,ANG-jah,n/v,harm,,,,,FALSE
angken,ANG-kuhn,conj,"although, even if, never mind that",masbali,Angken aleben sigurado ket entuloy to ladta.,Even if its unsure she/he continued to do it.,,FALSE
ani,ah-NEE,n/v,"harvest, reap","afit, asim",,,,FALSE
anito,,,,,,,,TRUE
anken,,,anken;,,,,,TRUE
anod,ah-NOD,n,act of drowning,,,,,FALSE
anop,ah-NOP,n/v,"prey, hunt",,,,,FALSE
anos,AH-nos,n,patience,,,,,FALSE
anosan,AH-noh-san,v,be patient,pan-anos,,,,FALSE
antag,an-TAG,v,carry something with someone; help someone carry an object,,,,,FALSE
antohos,an-toh-HOS,n,eye glasses,,,,,FALSE
ap-ap,ap-AP,n/v,cover,,"Nu gwaray too ja ka unsharasharal sun sikam ja ayshi kabul, na apal era sun sikam","When someone badmouths you for no reason, they are jealous of you.",,FALSE
apal,AH-pal,n,"jealousy, envy",imon,"Nu gwaray too ja ka unsharasharal sun sikam ja ayshi kabul, na apal era sun sikam","When someone badmouths you for no reason, they are jealous of you.",,FALSE
apao,ah-PAW,interj,"alas, gee, gosh, oh my","arah, ayu",,,,FALSE
apil,ah-PEEL,adj,different,aligua,,,,FALSE
apit,ah-PEET,n,"harvest, benefit, gain","ani, asim",,,,FALSE
apit-shiman,,,,,,,,TRUE
apko,AP-kho,n,bile,,,,,FALSE
apo,ah-POH,n,grandchild,,,,,FALSE
apoy,ah-POY,n,fire,,,,,FALSE
apsol,AP-sol,v,"meet, get together",,,,,FALSE
apsolan,ap-sol-AN,n,meeting place,apunan,,,,FALSE
apunan,AH-puh-nahn,n,"meeting place, usual gathering place",apsolan,,,,FALSE
arague,ah-RAG-wee,av,far,,"Nay arague e eskwedaan ko. | Arague ladtay semek ko, kaysa semek to sun sikam.","The school is too far. | My love for you is far more, than his.",,FALSE
arah,ah-RAH,interj,"alas, wow",apao,,,,FALSE
aramag,ah-rah-MAG,n,wake,,,,(usually lasts a number of days),FALSE
aramid,ah-RAH-mid,n,"deed, action",daggha,,,,FALSE
arasao,ah-ra-SAW,n/v,"rice wash, wash the rice",,,,,FALSE
arasho,ah-RAH-shoh,n,farm implement to turn over the soil,,,,,FALSE
arem,ah-RUHM,n,courtship,,,,,FALSE
aretos,ah-reh-TOS,n,earrings,,,,,FALSE
arig,ah-REEG,v,"liken to, compare to",itaron,,,,FALSE
arigto,,,similar to;,,,,,TRUE
arol,ah-ROL,v,sleep with,,Haja nen asok e ka arol ko. | Asdegto numan e binuras sha.,I sleep with my dog for now. | Their harvest was plentiful.,,FALSE
arubayan,ah-roo-bah-YAN,n,"yard, backyard, front yard, side yard",,,,,FALSE
asan,,,"(conj.) and then, before;",,"Edavi ma, asan ta mwan may tuloy nu kabasan.","It's already night, let's continue again tomorrow.",,TRUE
asanem,ah-sah-NEM,av,"later, some other time","asan ali nem, nem",,,,FALSE
asas,ah-SAS,n,sight,,,,,FALSE
asava,,,,,,,,TRUE
asavam,,,,,,,,TRUE
asbayat,as-bah-YAT,n/v,,,,,chant that serves as a refrain or a chorus to a lead chant (bah’diw),FALSE
asdegto,AS-duhg-toh,adj,"abundant, plentiful, may, much",,"Asdegto numan e binuras sha. | Arague ladtay semek ko, kaysa semek to sun sikam.","Their harvest was plentiful. | My love for you is far more, than his.",,FALSE
asegua,ah-suhg-WAH,n,"mate, wife, husband",cadgua,,,,FALSE
asen,ah-SUHN,v,"to see, to look",asas,"Nu asen ko sikato, ka un gwingi.","When i try to look at her, she looks away.",,FALSE
ashal,ah-SHAL,n/v,"study, learn",iscueda,,,,FALSE
ashalen,ah-SHAL-uhn,v,"to study, to think about, deliberate",,Ashalen ko nu ngentoy pesing man tusho | Piyan kon man pa ilot,I will learn the strategies in teaching | I want  to have a massage,,FALSE
ashe,,,,,Ashe nam-ay ja biag. | Ebadeg e digat nen nanang niman jen  ashe las tatang.,"There's no easy life. | The life of my mother was hard, when our father past away.",,TRUE
asi,ah-SEE,n/v,pity,,,,,FALSE
asim,ah-SEEM,v,"harvest, pick","afit, ani, camcam",,,,FALSE
asimogal,ah-see-moh-GAL,n,"discomfort, unease",,,,,FALSE
asin,ah-SEEN,n,salt,,,,,FALSE
askang,as-KHANG,av/v,be near,,,,,FALSE
asneng,as-NUHNG,n,"refusal, disagreement, dislike",enasneng,,,,FALSE
aso,AH-soh,n,dog,,,,,FALSE
asoba,ah-SOH-bah,n,spouse/wife/husband,asugwa,Si iyay e asobak.,This is my spouse/wife/husband.,,TRUE
asol,ah-SOL,v,fetch water,,Nan-asol si Jill shi pa-dok.,Jill fetched water at the river.,,FALSE
asolan,ah-soh-LAN,n,spring,,Eshakel e nan-asol shi asolan.,Many fetched water at the spring.,"place where water is fetched from, common faucet or well or pond, or stream",FALSE
asukal,ah-soo-KAL,n,sugar,,,,,FALSE
asuvam,,,,,,,,TRUE
atip,AH-tuhp,n,scabbard,,,,,FALSE
ativangdal,,n,fern tree,,,,,FALSE
atiw,ah-TIW,v,lose,,,,,FALSE
atol,ah-TOL,n/v,gate,,,,pile of rocks used as a fence or support,FALSE
av-avong,,,,,,,,TRUE
ava,AH-vah,n,,,,,root crop with big elephant ear like leaves,FALSE
avada,ah-VAH-dah,n,shoulder/shoulders,,,,,FALSE
avak,AH-vak,n,winnings or loss,,,,,FALSE
avat,ah-VAT,n,"plain and smooth path, float",caljap,,,(not uphill nor downhill),FALSE
avig,ah-VEEG,n/v,curse,,,,,FALSE
avono,ah-VOH-no,n,fertilizer,,,,,FALSE
avos,ah-VOS,adj,"sole, singular",,,,,FALSE
awas,ah-WAS,av,"outside, outdoors",,Awas kad shay.,Get out of here,,FALSE
awat,a-WAT,v,"accept, receive",,,,,FALSE
ayag,a-YAG,n,offering,,,,,FALSE
ayal,,,,,,,,TRUE
ayat,,,,,,,,TRUE
ayop,ah-YOHP,adj,"tame, domesticated",,Huta asok ket ayop ja shili.,My dog is too tamed.,,FALSE
ayshe,,,"no, nothing",,,,,TRUE
ayshi,,,"no, nothing",,"Nu gwaray too ja ka unsharasharal sun sikam ja ayshi kabul, na apal era sun sikam","When someone badmouths you for no reason, they are jealous of you.",,TRUE
ayu,ah-YOO,interj,"oh my, have mercy, my goodness",apao,,,,FALSE
ba-bangat,,,,,,,,TRUE
ba-eng,BAH-uhng,n,backyard planted to vegetables and fruit trees,,,,,FALSE
ba-ing,bah-EENG,n,shame,,,,,FALSE
ba-ingan,bah-ing-AN,v,"put to shame, cause embarrassment",,,,,FALSE
ba-ul,bah-OOL,n,"chest, trunk",,,,,FALSE
babawi,bah-bah-WEE,n/v,"regret, rue",,,,,FALSE
babelting,,n,cricket,belbelting,,,,FALSE
badahi,ba-da-HI,n,big black roach,,,,,FALSE
baddarong,ba-da-RONG,interj,"damn, darn, expression of anger or frustration",,,,,FALSE
badiyang,ba-DEE-yang,n,menstruation,,,,,FALSE
bado,BAH-doh,adj,new,,,,,FALSE
baengan,,,,,,,,TRUE
bagbag,BAG-bag,v,"demolish, tear down",,,,,FALSE
baggang,bah-GANG,n,throat,,,,,FALSE
baggha-an,bag-gah-AN,n,"slave, servant",,,,,FALSE
baghang,bah-GANG,n,throat,,,,,FALSE
bagtit,bag-TEET,adj,crazy,"ban-ag, eban-ag, man-emtang, man-engngao",,,,FALSE
bagto,BAG-toh,v,perch,,,,,FALSE
baguis,bah-GEES,n,tripe,,,,,FALSE
baha,bah-HAH,n,"cow, cattle",cavadian,,,,FALSE
bahal,bah-HAL,n/v,"fight, quarrel",cavil,,,,FALSE
bahes,BAH-huhs,n,monkey,,,,,FALSE
bahuna,bah-hoo-NAH,n/v,"scar made from inoculation, inoculate",,,,,FALSE
bah’deg,BAH-duhg,n,"size, growth",bengngis,,,,FALSE
bah’guwit,BAH-gweet,v,"hang on to, reach for","kah’gwat, kao-at",,,,FALSE
bah’guwitan,BAH-gwee-tan,v,cause to lower or bend by hanging something heavy,,,,,FALSE
bah’sil,BAH-seel,n,"lie, falsehood","o-owap, u-owap",,,,FALSE
baka,,,cow;,,,,,TRUE
bakbahan,bak-bah-HAN,n,frog,,,,,FALSE
bakdang,bak-DANG,n,"body, self",,,,,FALSE
baknang,bak-NANG,adj,"rich, wealthy",,Baknang numan era huta barkadak. | Eg in uli ni kaaruba mi huta binudod ton batiya.,My friends were rich. | Our neighbor did not return  our tub that they borrowed.,,FALSE
balang,bah-LANG,av,hopefully,,,,,FALSE
balangbang,bah-lang-BANG,n,type of fern,,,,,FALSE
balao,bah-LAW,n,"criticism, contempt, ridicule",,,,,FALSE
balasang,bah-lah-SANG,n/adj,"old maid, bachelor, unmarried",,Marikit jen balasang,Beautiful Lady,,FALSE
balat,bah-LAT,n,banana,,En amis numan e Dipig ja balat nu may shek-shek. | Pilak ladta e piyan ni caracdan.,Dipig' banana is delicious when boiled. | Money is what the majority wants.,,FALSE
balatbat,bah-lat-BAT,av,arranged in a row,,,,,FALSE
balekbek,bah-luhk-BUHK,n,"froth, foam",,,,,FALSE
balengbeng,bah-luhng-BUHNG,v,"throw, cast away",ivong,,,,FALSE
baley,bah-LEY,n,"house, habitat",abong,Shiyay eh baley mi.,Our house is here.,,FALSE
balides,bah-lee-DUHS,n,drum,,,,,FALSE
balitok,bah-lee-TOK,n,gold,,Epalit e balitok niman.,Gold is expensive now.,,FALSE
baliw,bah-LEEW,v,"defend, cross over",,,,,FALSE
balnao,bal-NAW,v,rinse,,Balnawim ita dabam.,Rinse your laundry.,,FALSE
balnawan,bal-naw-AN,v,"to rinse, to wash",,,,,FALSE
balo,BAH-lo,n,"widow, widower",,,,,FALSE
balodahi,bah-loh-DAH-hee,n,young man,,,,,FALSE
balsharo,bal-SHAH-roh,n/adj,"handicap, handicapped",,,,,FALSE
baludahi,,,,,,,,TRUE
ban-ag,ban-AG,adj,crazy,"bagtit, eban-ag, man-emtang, man-engngao",,,,FALSE
bangdo,BAND-doh,n,fragrance,,,,,FALSE
bangkilay,bang-kee-LAY,n,"altar like dais made of reed and saplings and supported by four posts and upon which offerings are made (jar of wine, rice, meats)","bekkas, ufo",,,,FALSE
bangko,BANG-koh,n,"bench, bank",,,,,FALSE
bangon,bah-NGON,v,"awaken, get up",,manbunget bangon bulow,Bark is angry and will get up,,FALSE
bani-it,bah-nee-EET,n,fish hook,,,,,FALSE
bantay,ban-TAY,v,watch over,,,,,FALSE
bantiwel,BAN-tee-WUHL,intej,"general expression of swearing equivalent to darn or damn, by golly",,,,,FALSE
banul,BAH-nool,n,"worth, price",,,,,FALSE
baras,bah-RAS,n/v,whip,,,,,FALSE
baro,bah-ROH,n,"clothes, dress",kaykayot,,,,FALSE
basig,,n/adj,"infertility, childless",,,,,FALSE
basol,bah-SOL,n,"fault, mistake, sin, error",camali,,,,FALSE
basta,,,,,,,,TRUE
batbat,bat-BAT,n,type of ceremony,,,,,FALSE
batikuleng,bah-tee-koo-LUHNG,n,gizzard,,,,,FALSE
batin,bah-TEEN,n,kidney/s,,,,,FALSE
batiya,BAT-yah,n,"tub, a big basin usually used for washing clothes",,,,,FALSE
batuwang,bah-too-WANG,n,"a big bush whose fruit is supposed to have some medicinal value; its fruit however, is not edible",,,,,FALSE
bayag,bah-YAG,n/av,a long time ago,,,,,FALSE
baybai,bay-BAY,n,sea,,,,,FALSE
bayo,BAH-yoh,v,pound,,,,,FALSE
be-ei,BEE-eh,n,"girl, woman",,Marikit ja be-ei.,Beautiful woman.,,FALSE
bebjeng,BUHB-juhng,v,make a dike,,,,,FALSE
bebjengngen,buhb-juh-NGUHN,v,make a dam,,,,,FALSE
beddat,buh-DAT,n,skin,,,,,FALSE
bee,BEE-eh,n,"girl, woman",,Marikit ja bee.,Beautiful woman.,,TRUE
bekkas,buh-KHAS,n,rice,"bangkilay, ufo",Enungkalak ni bekkas.,I bought rice.,,FALSE
bel-at,buhl-AT,n,weight,,,,,FALSE
belbelting,buhl-buhl-TEENG,n,cricket,babelting,,,,FALSE
belsig,buhl-SEENG,v,"to chop wood, split","betac, ekespak",,,,FALSE
beneg,buh-NUHG,n,back,,,,,FALSE
bengao,buh-NGAW,n,pleasant smelling herb whose stems and roots are dried and worn to ward off evil spirits,,,,,FALSE
bengat,buh-NGAT,av,"only, merely",,,,,FALSE
bengngeg,buhng-NGUHG,adj,stubborn,,,,,FALSE
bengngis,buh-NGEES,n,growth,bah’deg,,,,FALSE
benneg,buh-NUHG,n,back,,,,,FALSE
bes-ig,buhs-EEG,v,"drop, smash",,,,,FALSE
betac,buh-TAK,n,outbreak,,,,,FALSE
betang,buh-TANG,n,share,,,,,FALSE
betangen,buh-TAH-nguhn,v,"fell, chop down a tree",etuwang,,,,FALSE
betek,buh-TUHK,n,bunch,,,,,FALSE
betik,buh-TEEK,v,run,,,,,FALSE
betkag,buht-KHAG,v,"send on an errand, order, command",,,,,FALSE
betnek,buht-NUHK,adj,short and squat,,,,,FALSE
biag,bee-YAG,n,life,biyag,,,,FALSE
bialnes,bee-yal-NES,n,Friday,,,,,FALSE
bida,bee-DAH,n,a kind of leech,,,,,FALSE
bidaggan,bee-dah-GAN,n,clothesline,,,,,FALSE
bii,,,girl;,,,,,TRUE
biin,,,,,,,,TRUE
bilag,bee-LAG,v,dry under the sun,,,,,FALSE
bilang,bih-LAHNG,n/v,"number, count",,,,,FALSE
bileg,BIH-luhg,n,leech,,,,,FALSE
bilin,BIH-lihn,n,"advice, instruction",jamjam,,,,FALSE
bilko,BIHL-koh,n,belt,,,,,FALSE
bimengis,BIHM-uh-ngis,v,grew,,,,,FALSE
bimulow,BIHM-oo-low,v,barked,,,,,FALSE
bimunga,bihm-OO-ngah,v,flowered,,,,,FALSE
bimunget,bim-OO-nguht,v,"got angry, was angry",,,,,FALSE
binaljan,,,,,,,,TRUE
binanbantayan,,,,,,,,TRUE
binga,BIH-ngah,n,elongated shells,,,,,FALSE
binidag,BIH-nih-daHg,n,clothes on the line,,,,,FALSE
binmolew,,,,,,,,TRUE
binodod,bih-nih-DAHG,v,borrowed,,binodod ko dapis mo.,I borrowed your pencil,,FALSE
bintawan,,,,,,,,TRUE
bintuwan,been-toh-WAN,n,portable fireplace,,,,,FALSE
binud-budan,bee-NOD-boo-DAN,,every month,,,,,FALSE
birel,BEE-ruhl,adj,ripe,edowem,,,,FALSE
birong,bee-RONG,n,bladder,,,,,FALSE
bisagra,bee-SAG-ra,n,hasp,,,,,FALSE
bisil,bee-SEEL,n,sand,,,,,FALSE
bisngay,bees-NGAY,v,part one’s hair,,,,,FALSE
bisukol,bee-soo-KOL,n,snail,,,,,FALSE
biteg,BEE-tuhg,n,poverty,,,,,FALSE
bivi-in,,,,,,,,TRUE
biyag,bee-YAG,n,life,biag,,,,FALSE
biyeng,bee-YUHNG,n,rapidity,,Enpan biyeng to e motor. | Maykuwan e uston dekna.,He drove the motorcycle rapidly. | Tell your true feelings.,,FALSE
bodoren,boh-doh-RUHN,v,will borrow,,,,,FALSE
bogot,,,,,,,,TRUE
bokdow,BOK-dow,n,neck,,,,,FALSE
boknol,bok-NOL,adj,round,"dikmot, eboknol",,,,FALSE
boknolen,bok-noh-LUHN,v,to see a ghost,,,,,FALSE
bolih’di,boh-LEE-dee,v,turn around,,,,,FALSE
bolod,boh-LOD,v,borrow,,,,,FALSE
bongot,boh-NGOT,n,mouth,,,,,FALSE
bono,BOH-noh,v,"kill, murder",,,,,FALSE
bonobon,,,,,,,,TRUE
bontog,bon-TOG,adj,"slow, sluggish",,,,,FALSE
botbotog,bot-bot-TOG,n,piglet/s,,,,,FALSE
botete,boh-TEH-teh,n,lizard,,,,,FALSE
botka,BOT-kah,v,be damned,,,,,FALSE
bovod,boh-VOD,n,yeast,,,,,FALSE
bovong,boh-VONG,n,roof,buvong,,,,FALSE
bu-o,BOO-oh,n,round mushroom,,,,,FALSE
bua,BOO-wah,n,betel nut,,,,,FALSE
buduson,,,,,,,,TRUE
buhao,BOO-haw,n,eagle,,,,,FALSE
buh’dai,BOO-day,n,"land, earth",,,,,FALSE
bukdow,BOOK-dow,n,neck,,,,,FALSE
bulag,,,,,,,,TRUE
bulak,boo-LAK,v,scatter,etpok,,,,FALSE
bulakbol,,,,,,,,TRUE
bulan,boo-LAN,n,moon,,,,,FALSE
bulbul-ow,bool-bool-OW,n,butterfly,,,,,FALSE
bulo,BOO-loh,n,bamboo,,,,,FALSE
bulong,boo-LONG,n,"leaf, leaves",,,,,FALSE
bulow,boo-LOW,n/v,bark,,manbunget bangon bulow | Matneng i bulow ni aso.,Bark is angry and will get up | The dog's bark can be heard.,,FALSE
bumalasang,boo-mah-LAH-sang,n,mare/filly,horse,,,,FALSE
bumalo,boo-mah-LOH,n,bull,,,,,FALSE
bunak,boo-NAK,n,"kin, relatives","aishe afil id, ka-et, ka-it",,,,FALSE
bunga,BOO-ngah,n/v,"flower, fruit",dames,,,,FALSE
bungdol,boong-DOL,n,rainbow,,,,,FALSE
bunget,boo-NGUHT,n/v,"anger, ire, rage",,,,,FALSE
bungog,boo-NGOG,n,sound,,,,,FALSE
bungot,boo-NGOT,n,mouth,,"e cubsil mo, say makal sakit ni deknam | Marikit jen balasang",Let it go so that the pain will go | Beautiful Lady,,FALSE
bunong,boo-NONG,n,prayers said by the priest/priestess in a ceremony,,,,,FALSE
busol,boo-SOL,n,headhunter,,,,,FALSE
butatow,boo-tah-TOW,n,row of lights with human like forms that appear on the hillsides,,,,,FALSE
butil,boo-TIL,n,seed,,,,,FALSE
butngag,boot-NGAG,adj,"boastful, braggart",dastog,,,,FALSE
buvong,boo-VONG,n,roof,bovong,,,,FALSE
buwas,boo-WAS,v,rise early,,,,,FALSE
buwasto,boo-WAS-toh,av,day after,,,,,FALSE
buwaya,BWAH-yah,n,crocodile,,,,,FALSE
buwek,BOO-wuhk,n,hair,,Eshakel e buwek nen nanang ko jen emputi.,My mother has so many white hair.,,FALSE
buwey,BOO-wuhy,v,break,ketdang,,,,FALSE
ca-anahan,kah-AH-nah-han,n,niece or nephew,,,,,FALSE
ca-id-iren,kah-EED-ee-ren,adj,miscellaneous,,,,,FALSE
ca-ong,kah-ONG,n,"sow, pig",,,,,FALSE
ca-onong,kah-oh-NONG,av,"as is, still there",,Ka-onong huta insulat kodshay.,What I wrote is still here.,,FALSE
ca-onoran,kah-oh-noh-RAN,adj,last,,Sikatoy ka-onoran ja anak.,He/She's the youngest child.,,FALSE
ca-ot,kah-OT,v,"dig, bury",baybai,,,,FALSE
cabasan,kah-bah-SAN,av,tomorrow,,,,,FALSE
cabdong,kab-DONG,v,swim,,,,,FALSE
cadgua,kad-GWAH,n,"pair, partner, companion, mate",asagua,,,,FALSE
cadovong,ka-doh-VONG,n,"cap, hat",kura,Mayat i cadovong ko.,My hat is nice.,,FALSE
caen-ek-ekket,kah-uhn-uhk-uhk-KHUHT,v,"remain silent, keeping quiet",,,,,FALSE
cafadi,kah-fah-DEE,subjunctive,"had it been so, were it the case; expresses rue/regret",camongon,,,,FALSE
cafi,KAH-fee,n,"ceremonious party, rite",,Nan-kafi era ni nashem.,They held a 'kafi' yesterday.,,FALSE
cafon,kah-FON,v,geld,,,,,FALSE
caggasuwa,kah-gas-WAH,n/v,"half of, halve",,,,,FALSE
cahil,kah-HEEL,n,mandarin fruit or tree,,,,,FALSE
cah’bis,KHAH-bees,n/v,sneeze,,,,,FALSE
cah’sheman,KAH-shuh-man,av,day before yesterday,,,,,FALSE
caising,kah-ee-SEENG,n,in-law specifically the parent/s of the spouse of one’s child,,,,,FALSE
cakak,khah-KHAK,n/adj,hollow sound; hollowness,,,,,FALSE
cala,KAH-lah,v,come,,,,,FALSE
calapao,kah-lah-PAW,n,hut,abolan,,,,FALSE
calapati,kah-lah-PAH-tee,n,dove,,,,,FALSE
calapjao,kah-lap-JAW,n,rain cape made of dried palm leaves,,,,,FALSE
calat,kah-LAT,n/v,bite,,Calat mo iya bayabas.,Bite this guava.,,FALSE
calbian,kal-bee-AN,av,night time,davi,,,,FALSE
caljap,kal-JAP,v,"float, rise to the surface",avat,,,,FALSE
calna,kal-NAH,n/v,calm,,,,,FALSE
calon,kah-LON,n,betrothal,,,,,FALSE
calsara,kal-SAH-rah,n,"road, street",,,,,FALSE
calshing,KAL-sheeng,n,goat,,,,,FALSE
calso,KAL-so,n,object (wood or rock) to serve as a stopper or as a hindrance,,,,,FALSE
calson,KAL-son,n,pants,,,,,FALSE
camali,kah-mah-LEE,n/v,"error, mistake; err, make a mistake",basol,,,,FALSE
camas,kah-MAS,v,to weed around the rice plants in muddy water,,,,,FALSE
cambal,kam-BAL,n,native blouse,,,,,FALSE
camcam,kam-KAM,v,"gather, pick",asim,,,,FALSE
camen,KAH-men,n,mat,,,,,FALSE
camison,kah-mee-SON,n,"slip, under garment",coh’bil,,,,FALSE
camon,kah-MON,conj,"when, while, if","camongon, nunta",,,,FALSE
camongon,kah-moh-NGON,conj/subjunctive,"if, had it been so","cafadi, camon",,,,FALSE
campana,kam-PAH-nah,n,bell,,,,,FALSE
camposo,kam-POH-soh,n,top,,,,,FALSE
camudas,kah-moo-DAS,n,measles,,,,,FALSE
canawan,kah-nah-WAN,n/av,"right hand, right, to the right",carigshan,,,,FALSE
canayon,kah-NAH-yon,adj/av,"always, continuous, continuously, frequently",,,,,FALSE
caniggid,kah-nee-GEED,n/av,"left hand, left, to the left",,,,,FALSE
canshila,kan-SHEE-lah,n,candle,,,,,FALSE
cantina,kan-TEE-nah,n,store,,,,,FALSE
capcap,KAP-cap,v,"grope, search","anap, kapkap",,,,FALSE
capi,KAH-pee,n,coffee,,,,,FALSE
capsot,KAP-sot,adj,weak,,,,,FALSE
